date,time,hot_index,name,raw_hot,label_name,url
2023-12-24,10:58:27,1,宁远舟死在了他最想活的那一年,1191955,热,https://s.weibo.com/weibo?q=%23宁远舟死在了他最想活的那一年%23
2023-12-24,10:58:27,2,胡歌 捡垃圾是没有办法的办法,687065,热,https://s.weibo.com/weibo?q=%23胡歌 捡垃圾是没有办法的办法%23
2023-12-24,10:58:27,3,遇见2023的中国,41188,新,https://s.weibo.com/weibo?q=%23遇见2023的中国%23
2023-12-24,10:58:27,4,刘亦菲 开屏,806148,新,https://s.weibo.com/weibo?q=%23刘亦菲 开屏%23
2023-12-24,10:58:27,5,十年了 只有郭敬明拍出了真的纸醉金迷,664049,新,https://s.weibo.com/weibo?q=%23十年了 只有郭敬明拍出了真的纸醉金迷%23
2023-12-24,10:58:27,6,长津湖,629816,新,https://s.weibo.com/weibo?q=%23长津湖%23
2023-12-24,10:58:27,7,铊中毒曾3次出现在高校,1562573,热,https://s.weibo.com/weibo?q=%23铊中毒曾3次出现在高校%23
2023-12-24,10:58:27,8,考研这事儿大学生终于卷不动了,493097,,https://s.weibo.com/weibo?q=%23考研这事儿大学生终于卷不动了%23
2023-12-24,10:58:27,9,乐华员工选贾乃亮当老板,447111,热,https://s.weibo.com/weibo?q=%23乐华员工选贾乃亮当老板%23
2023-12-24,10:58:27,10,微波炉热了十分钟的馒头,402681,,https://s.weibo.com/weibo?q=%23微波炉热了十分钟的馒头%23
2023-12-24,10:58:27,11,结婚的婚 左边是女右边是昏,808324,热,https://s.weibo.com/weibo?q=%23结婚的婚 左边是女右边是昏%23
2023-12-24,10:58:27,12,女生回应被老鼠咬手后反咬老鼠头,429707,新,https://s.weibo.com/weibo?q=%23女生回应被老鼠咬手后反咬老鼠头%23
2023-12-24,10:58:27,13,长期戴口罩容易肺结节吗,353437,,https://s.weibo.com/weibo?q=%23长期戴口罩容易肺结节吗%23
2023-12-24,10:58:27,14,吉林发现被东北虎咬死的东北豹,352665,,https://s.weibo.com/weibo?q=%23吉林发现被东北虎咬死的东北豹%23
2023-12-24,10:58:27,15,张碧晨向演唱会现场观众道歉,311799,,https://s.weibo.com/weibo?q=%23张碧晨向演唱会现场观众道歉%23
2023-12-24,10:58:27,16,云南一农村5桌以上聚餐需报备,307510,,https://s.weibo.com/weibo?q=%23云南一农村5桌以上聚餐需报备%23
2023-12-24,10:58:27,17,甜馨 差不多十几年没看见嗯哼了,285510,热,https://s.weibo.com/weibo?q=%23甜馨 差不多十几年没看见嗯哼了%23
2023-12-24,10:58:27,18,一念关山艾特错任如意角色号,234252,新,https://s.weibo.com/weibo?q=%23一念关山艾特错任如意角色号%23
2023-12-24,10:58:27,19,你一共经历了7434次精神内耗,223615,,https://s.weibo.com/weibo?q=%23你一共经历了7434次精神内耗%23
2023-12-24,10:58:27,20,脱轨 恐怖片,217765,,https://s.weibo.com/weibo?q=%23脱轨 恐怖片%23
2023-12-24,10:58:27,21,姑娘年初卖房因5万中介费谈崩年底少卖100万,276751,,https://s.weibo.com/weibo?q=%23姑娘年初卖房因5万中介费谈崩年底少卖100万%23
2023-12-24,10:58:27,22,2024年是个什么年,240954,新,https://s.weibo.com/weibo?q=%232024年是个什么年%23
2023-12-24,10:58:27,23,甜馨 我们白着呢,231622,新,https://s.weibo.com/weibo?q=%23甜馨 我们白着呢%23
2023-12-24,10:58:27,24,叫大东北是有原因的,204107,新,https://s.weibo.com/weibo?q=%23叫大东北是有原因的%23
2023-12-24,10:58:27,25,上海警方侦破侵犯芯片技术商业秘密案,193510,新,https://s.weibo.com/weibo?q=%23上海警方侦破侵犯芯片技术商业秘密案%23
2023-12-24,10:58:27,26,vivo两名高管被曝在印度遭逮捕,749685,新,https://s.weibo.com/weibo?q=%23vivo两名高管被曝在印度遭逮捕%23
2023-12-24,10:58:27,27,某些大女主文现状,188406,,https://s.weibo.com/weibo?q=%23某些大女主文现状%23
2023-12-24,10:58:27,28,苏醒徐志胜梅开二度向节目组道歉,182251,,https://s.weibo.com/weibo?q=%23苏醒徐志胜梅开二度向节目组道歉%23
2023-12-24,10:58:27,29,平安夜,180308,,https://s.weibo.com/weibo?q=%23平安夜%23
2023-12-24,10:58:27,30,何炅问今天是杨紫作品回顾展吗,167433,,https://s.weibo.com/weibo?q=%23何炅问今天是杨紫作品回顾展吗%23
2023-12-24,10:58:27,31,4种走路姿势暗示疾病信号,165792,,https://s.weibo.com/weibo?q=%234种走路姿势暗示疾病信号%23
2023-12-24,10:58:27,32,洗澡后立刻睡觉可能影响睡眠,164564,,https://s.weibo.com/weibo?q=%23洗澡后立刻睡觉可能影响睡眠%23
2023-12-24,10:58:27,33,vivo称对印度的拘捕行动深表震惊,160590,新,https://s.weibo.com/weibo?q=%23vivo称对印度的拘捕行动深表震惊%23
2023-12-24,10:58:27,34,考研,154890,新,https://s.weibo.com/weibo?q=%23考研%23
2023-12-24,10:58:27,35,女子感叹给闺蜜当伴娘后绝交了,149105,,https://s.weibo.com/weibo?q=%23女子感叹给闺蜜当伴娘后绝交了%23
2023-12-24,10:58:27,36,女厂长靠20个老配方救回一个厂,148798,新,https://s.weibo.com/weibo?q=%23女厂长靠20个老配方救回一个厂%23
2023-12-24,10:58:27,37,长津湖战役胜利,126399,新,https://s.weibo.com/weibo?q=%23长津湖战役胜利%23
2023-12-24,10:58:27,38,94年女生北漂5年半攒钱超100万,122754,新,https://s.weibo.com/weibo?q=%2394年女生北漂5年半攒钱超100万%23
2023-12-24,10:58:27,39,美国常驻联合国代表的手怎么了,121913,,https://s.weibo.com/weibo?q=%23美国常驻联合国代表的手怎么了%23
2023-12-24,10:58:27,40,朱令去世,119952,,https://s.weibo.com/weibo?q=%23朱令去世%23
2023-12-24,10:58:27,41,他们把你也搁家里啦,116742,新,https://s.weibo.com/weibo?q=%23他们把你也搁家里啦%23
